Medu,Fedu,studytime,failures,schoolsup,higher,absences,G1
2,4,2,0,0,1,0,90
3,3,2,0,0,1,56,71
3,2,2,0,0,1,14,80
3,3,2,0,0,1,12,80
1,2,1,0,0,1,2,78
2,1,2,0,0,1,0,88
3,3,2,0,0,1,6,69
1,2,2,0,0,1,4,69
2,3,2,0,0,1,10,78
1,1,2,0,0,1,0,69
1,2,2,0,0,1,12,67
3,3,1,0,0,1,8,69
2,3,1,0,0,1,0,83
2,4,2,0,0,1,0,85
4,4,1,0,0,1,4,92
3,3,1,0,0,1,8,71
4,4,1,1,0,1,24,95
4,4,2,0,0,1,0,71
4,3,2,0,0,1,2,90
2,3,2,0,1,1,6,69
1,1,2,0,0,1,4,71
2,2,1,0,0,1,18,67
2,2,4,0,0,1,6,73
3,4,3,1,0,1,28,73
3,1,2,3,0,1,5,67
4,3,2,0,0,1,10,78
1,1,1,0,0,1,6,71
4,3,3,0,0,1,6,67
3,3,4,0,0,1,10,69
4,4,2,0,0,1,13,80
2,2,2,0,1,1,0,80
2,2,2,1,0,1,15,65
4,4,1,0,0,1,12,69
3,2,2,0,0,1,2,85
4,3,2,2,0,1,22,65
3,3,2,1,0,1,13,65
2,3,1,0,0,1,3,67
2,2,3,0,0,1,4,71
2,1,2,0,0,1,2,65
1,1,3,1,0,1,0,65
2,3,2,0,1,1,2,90
2,2,2,0,0,1,0,80
4,4,3,0,0,1,0,83
3,1,2,1,0,1,16,71
3,2,2,0,0,1,10,90
2,3,2,0,0,1,2,80
2,1,2,0,1,1,14,73
2,1,3,0,0,1,10,80
4,3,2,0,0,1,14,83
2,2,2,0,0,1,4,78
4,4,2,0,1,1,14,78
4,4,2,0,0,1,2,85
1,1,2,0,0,1,18,71
3,2,3,0,0,1,10,78
2,2,2,0,0,1,4,85
2,1,1,0,0,1,20,83
2,1,2,0,0,1,2,83
2,2,2,1,0,0,0,67
4,3,2,0,0,1,14,80
4,4,2,0,0,1,2,73
4,3,1,0,0,1,0,65
4,4,1,0,0,1,0,83
2,1,3,0,0,1,0,67
2,1,1,0,0,1,6,95
2,3,1,0,0,1,4,80
3,1,1,3,0,0,16,65
3,3,2,1,0,1,8,63
0,2,1,0,0,1,0,83
3,2,1,1,0,0,0,65
3,3,2,0,1,1,6,67
2,1,1,1,0,0,4,65
2,1,1,0,0,1,0,69
2,1,1,0,0,1,0,69
1,1,1,1,0,1,2,67
4,2,4,0,0,1,6,85
4,3,2,0,0,1,12,78
2,1,2,0,0,1,8,88
2,2,4,0,0,1,0,73
4,3,2,0,0,1,21,92
4,3,2,0,0,1,2,69
3,2,3,0,0,1,1,83
3,3,3,0,0,1,4,73
2,2,3,0,0,1,0,71
3,4,2,0,0,1,13,92
3,1,2,0,0,1,2,71
4,4,2,0,0,1,8,80
4,2,2,0,0,1,10,73
2,1,2,0,0,0,0,65
3,3,2,2,0,1,15,71
2,3,4,0,0,1,4,88
1,1,2,0,0,1,2,78
1,2,2,0,0,1,2,88
2,4,2,0,0,1,2,73
2,2,2,0,1,1,6,80
3,2,2,0,0,0,75,73
4,4,1,0,0,1,22,71
4,4,2,1,1,1,15,71
4,3,1,0,0,1,8,73
4,1,1,0,0,1,30,69
3,2,1,1,0,1,19,78
1,1,4,0,0,1,1,80
1,1,2,0,1,1,4,69
2,2,2,0,0,1,4,73
1,1,2,0,0,1,2,80
2,2,3,0,0,1,5,95
1,1,3,0,0,1,6,83
2,1,3,0,0,1,6,88
4,4,2,0,0,1,9,88
4,2,2,0,0,1,11,80
4,3,3,0,0,1,0,88
2,1,2,1,0,1,12,80
3,1,4,0,0,1,6,95
3,2,3,0,0,1,8,85
3,3,1,0,0,1,4,85
4,4,2,0,0,1,0,73
4,3,2,0,0,1,10,73
4,3,4,0,0,1,0,85
4,4,1,0,0,1,5,90
4,4,2,0,0,1,14,80
4,4,1,0,0,1,0,78
4,2,3,0,0,1,0,88
3,2,4,0,0,1,0,92
3,3,2,1,0,1,20,88
2,4,2,1,0,1,8,85
3,2,1,0,0,1,0,92
4,4,1,1,0,1,38,69
3,3,2,1,0,1,0,88
1,1,2,1,1,1,18,80
1,2,2,1,0,1,0,71
2,1,2,0,0,0,20,85
1,2,2,1,0,1,3,83
3,2,2,1,0,1,22,83
1,1,3,2,0,1,14,88
2,3,3,1,0,1,40,83
2,1,2,0,0,1,0,69
4,3,3,0,0,1,9,71
3,4,3,0,0,1,0,78
4,4,2,0,0,1,2,78
4,3,2,0,0,1,23,83
2,2,2,0,0,1,12,78
2,2,3,0,0,1,3,78
3,1,3,0,0,1,1,80
0,2,3,0,0,1,0,90
4,4,3,0,0,1,3,71
3,3,1,0,0,1,3,85
2,2,1,0,0,1,8,78
4,4,3,0,0,1,7,73
4,4,3,0,0,1,4,85
2,2,4,0,0,1,2,71
2,4,3,0,0,1,7,80
3,3,2,0,0,1,0,67
2,2,2,0,0,1,0,69
2,2,4,0,0,1,0,73
3,4,3,0,0,1,16,90
3,1,3,1,0,1,12,85
3,2,2,0,0,1,0,67
3,3,4,0,0,1,7,90
3,2,2,0,0,1,4,71
2,1,3,1,0,1,4,78
4,4,2,1,0,1,0,73
3,4,2,0,0,1,11,90
2,2,2,1,0,1,0,71
2,3,3,0,0,1,4,78
3,2,3,0,0,1,7,83
4,3,3,0,0,1,9,90
4,3,3,0,0,1,0,73
4,3,3,0,0,1,0,83
3,2,1,1,0,1,10,78
1,1,2,3,0,1,8,69
3,3,2,0,0,1,2,83
1,3,1,1,0,0,7,69
1,1,1,1,0,1,4,69
4,3,2,0,0,1,4,83
3,3,2,0,0,1,0,73
4,4,2,0,0,1,4,80
3,2,2,0,0,1,2,80
1,1,1,0,0,1,4,73
1,1,3,0,0,1,0,95
1,4,2,0,0,1,0,83
1,1,2,1,0,0,2,83
3,3,2,0,0,1,0,78
4,4,2,0,0,1,0,90
1,2,2,0,0,1,0,80
1,3,2,0,0,1,4,73
4,4,3,0,0,1,0,83
1,1,1,1,0,1,0,67
2,3,1,0,0,1,0,78
4,4,2,0,0,1,10,85
3,2,2,2,0,1,4,67
1,2,1,0,0,0,3,85
2,2,3,0,0,1,8,83
1,2,1,0,0,1,14,65
4,4,3,0,0,1,0,97
1,1,3,0,0,1,2,69
4,2,3,2,0,1,4,88
4,4,2,0,0,1,4,69
3,3,2,0,0,1,0,88
3,1,2,0,0,1,17,73
4,4,2,0,0,1,4,88
2,1,1,0,0,1,5,67
2,3,2,0,0,1,2,78
1,1,1,1,0,1,0,65
4,2,1,1,0,1,14,65
2,2,3,0,0,1,2,73
4,4,1,0,0,1,7,65
2,3,3,1,0,1,0,67
3,1,2,0,0,1,0,67
1,1,2,1,0,1,0,65
2,2,2,2,0,1,11,71
3,1,1,0,0,1,3,85
1,1,1,3,0,1,3,73
3,2,1,0,0,1,0,78
1,1,1,0,0,1,5,69
